SRR1433290 SRR1433290_1.fastq.gz SRR1433290_2.fastq.gz
SRR1434502 SRR1434502_1.fastq.gz SRR1434502_2.fastq.gz
SRR1435248 SRR1435248_1.fastq.gz SRR1435248_2.fastq.gz
SRR1435311 SRR1435311_1.fastq.gz SRR1435311_2.fastq.gz
SRR1435418 SRR1435418_1.fastq.gz SRR1435418_2.fastq.gz
SRR1435626 SRR1435626_1.fastq.gz SRR1435626_2.fastq.gz
SRR1436563 SRR1436563_1.fastq.gz SRR1436563_2.fastq.gz
SRR1436651 SRR1436651_1.fastq.gz SRR1436651_2.fastq.gz
SRR1439742 SRR1439742_1.fastq.gz SRR1439742_2.fastq.gz
SRR1440101 SRR1440101_1.fastq.gz SRR1440101_2.fastq.gz
SRR1440744 SRR1440744_1.fastq.gz SRR1440744_2.fastq.gz
SRR1441590 SRR1441590_1.fastq.gz SRR1441590_2.fastq.gz
SRR1442104 SRR1442104_1.fastq.gz SRR1442104_2.fastq.gz
SRR1442754 SRR1442754_1.fastq.gz SRR1442754_2.fastq.gz
SRR1442928 SRR1442928_1.fastq.gz SRR1442928_2.fastq.gz
SRR1443003 SRR1443003_1.fastq.gz SRR1443003_2.fastq.gz
SRR1443436 SRR1443436_1.fastq.gz SRR1443436_2.fastq.gz
SRR1444002 SRR1444002_1.fastq.gz SRR1444002_2.fastq.gz
SRR1444120 SRR1444120_1.fastq.gz SRR1444120_2.fastq.gz
SRR1444306 SRR1444306_1.fastq.gz SRR1444306_2.fastq.gz
SRR1444501 SRR1444501_1.fastq.gz SRR1444501_2.fastq.gz
SRR1446564 SRR1446564_1.fastq.gz SRR1446564_2.fastq.gz
SRR1447103 SRR1447103_1.fastq.gz SRR1447103_2.fastq.gz
SRR1448029 SRR1448029_1.fastq.gz SRR1448029_2.fastq.gz
SRR1452334 SRR1452334_1.fastq.gz SRR1452334_2.fastq.gz
SRR1452423 SRR1452423_1.fastq.gz SRR1452423_2.fastq.gz
SRR1452515 SRR1452515_1.fastq.gz SRR1452515_2.fastq.gz
SRR1452696 SRR1452696_1.fastq.gz SRR1452696_2.fastq.gz
SRR1452864 SRR1452864_1.fastq.gz SRR1452864_2.fastq.gz
SRR1452912 SRR1452912_1.fastq.gz SRR1452912_2.fastq.gz
SRR1453416 SRR1453416_1.fastq.gz SRR1453416_2.fastq.gz
SRR1453911 SRR1453911_1.fastq.gz SRR1453911_2.fastq.gz
SRR1454117 SRR1454117_1.fastq.gz SRR1454117_2.fastq.gz
SRR1454310 SRR1454310_1.fastq.gz SRR1454310_2.fastq.gz
SRR1454328 SRR1454328_1.fastq.gz SRR1454328_2.fastq.gz
SRR1454651 SRR1454651_1.fastq.gz SRR1454651_2.fastq.gz
SRR1455525 SRR1455525_1.fastq.gz SRR1455525_2.fastq.gz
SRR1456027 SRR1456027_1.fastq.gz SRR1456027_2.fastq.gz
SRR1458220 SRR1458220_1.fastq.gz SRR1458220_2.fastq.gz
SRR1458683 SRR1458683_1.fastq.gz SRR1458683_2.fastq.gz
SRR1458852 SRR1458852_1.fastq.gz SRR1458852_2.fastq.gz
SRR1459125 SRR1459125_1.fastq.gz SRR1459125_2.fastq.gz
SRR1459937 SRR1459937_1.fastq.gz SRR1459937_2.fastq.gz
SRR1464601 SRR1464601_1.fastq.gz SRR1464601_2.fastq.gz
SRR1464681 SRR1464681_1.fastq.gz SRR1464681_2.fastq.gz
SRR1464915 SRR1464915_1.fastq.gz SRR1464915_2.fastq.gz
SRR1466512 SRR1466512_1.fastq.gz SRR1466512_2.fastq.gz
SRR1467567 SRR1467567_1.fastq.gz SRR1467567_2.fastq.gz
SRR1467966 SRR1467966_1.fastq.gz SRR1467966_2.fastq.gz
SRR1468162 SRR1468162_1.fastq.gz SRR1468162_2.fastq.gz
SRR1468532 SRR1468532_1.fastq.gz SRR1468532_2.fastq.gz
SRR1468658 SRR1468658_1.fastq.gz SRR1468658_2.fastq.gz
SRR1469014 SRR1469014_1.fastq.gz SRR1469014_2.fastq.gz
SRR1470093 SRR1470093_1.fastq.gz SRR1470093_2.fastq.gz
SRR1471117 SRR1471117_1.fastq.gz SRR1471117_2.fastq.gz
SRR1471594 SRR1471594_1.fastq.gz SRR1471594_2.fastq.gz
SRR1471965 SRR1471965_1.fastq.gz SRR1471965_2.fastq.gz
SRR1472794 SRR1472794_1.fastq.gz SRR1472794_2.fastq.gz
SRR1473078 SRR1473078_1.fastq.gz SRR1473078_2.fastq.gz
SRR1475104 SRR1475104_1.fastq.gz SRR1475104_2.fastq.gz
SRR1475300 SRR1475300_1.fastq.gz SRR1475300_2.fastq.gz
SRR1478053 SRR1478053_1.fastq.gz SRR1478053_2.fastq.gz
SRR1478362 SRR1478362_1.fastq.gz SRR1478362_2.fastq.gz
SRR1478386 SRR1478386_1.fastq.gz SRR1478386_2.fastq.gz
SRR1478968 SRR1478968_1.fastq.gz SRR1478968_2.fastq.gz
SRR1480038 SRR1480038_1.fastq.gz SRR1480038_2.fastq.gz
SRR1480455 SRR1480455_1.fastq.gz SRR1480455_2.fastq.gz
SRR1480547 SRR1480547_1.fastq.gz SRR1480547_2.fastq.gz
SRR1481083 SRR1481083_1.fastq.gz SRR1481083_2.fastq.gz
SRR1481396 SRR1481396_1.fastq.gz SRR1481396_2.fastq.gz
SRR1486156 SRR1486156_1.fastq.gz SRR1486156_2.fastq.gz
SRR1486799 SRR1486799_1.fastq.gz SRR1486799_2.fastq.gz
SRR1487570 SRR1487570_1.fastq.gz SRR1487570_2.fastq.gz
SRR1487746 SRR1487746_1.fastq.gz SRR1487746_2.fastq.gz
SRR1487947 SRR1487947_1.fastq.gz SRR1487947_2.fastq.gz
SRR1488091 SRR1488091_1.fastq.gz SRR1488091_2.fastq.gz
SRR1488214 SRR1488214_1.fastq.gz SRR1488214_2.fastq.gz
SRR1488470 SRR1488470_1.fastq.gz SRR1488470_2.fastq.gz
SRR1489030 SRR1489030_1.fastq.gz SRR1489030_2.fastq.gz
SRR1489286 SRR1489286_1.fastq.gz SRR1489286_2.fastq.gz
SRR1489307 SRR1489307_1.fastq.gz SRR1489307_2.fastq.gz
SRR1489610 SRR1489610_1.fastq.gz SRR1489610_2.fastq.gz
SRR1489950 SRR1489950_1.fastq.gz SRR1489950_2.fastq.gz
SRR1490037 SRR1490037_1.fastq.gz SRR1490037_2.fastq.gz
SRR1499566 SRR1499566_1.fastq.gz SRR1499566_2.fastq.gz
SRR1499740 SRR1499740_1.fastq.gz SRR1499740_2.fastq.gz
SRR1499764 SRR1499764_1.fastq.gz SRR1499764_2.fastq.gz
SRR1500323 SRR1500323_1.fastq.gz SRR1500323_2.fastq.gz
SRR2135308 SRR2135308_1.fastq.gz SRR2135308_2.fastq.gz
SRR2135331 SRR2135331_1.fastq.gz SRR2135331_2.fastq.gz
SRR2135378 SRR2135378_1.fastq.gz SRR2135378_2.fastq.gz
SRR2166064 SRR2166064_1.fastq.gz SRR2166064_2.fastq.gz
SRR2166376 SRR2166376_1.fastq.gz SRR2166376_2.fastq.gz
SRR2166960 SRR2166960_1.fastq.gz SRR2166960_2.fastq.gz
SRR2185018 SRR2185018_1.fastq.gz SRR2185018_2.fastq.gz
SRR600656 SRR600656_1.fastq.gz SRR600656_2.fastq.gz
SRR600981 SRR600981_1.fastq.gz SRR600981_2.fastq.gz
SRR601387 SRR601387_1.fastq.gz SRR601387_2.fastq.gz
SRR601671 SRR601671_1.fastq.gz SRR601671_2.fastq.gz
SRR601695 SRR601695_1.fastq.gz SRR601695_2.fastq.gz
SRR603116 SRR603116_1.fastq.gz SRR603116_2.fastq.gz
SRR603164 SRR603164_1.fastq.gz SRR603164_2.fastq.gz
SRR605101 SRR605101_1.fastq.gz SRR605101_2.fastq.gz
SRR606974 SRR606974_1.fastq.gz SRR606974_2.fastq.gz
