gtex_d	gtex_d_R1	gtex_d_R2
SRR1071761	SRR1071761_1.fastq.gz	SRR1071761_2.fastq.gz
SRR1071785	SRR1071785_1.fastq.gz	SRR1071785_2.fastq.gz
SRR1071807	SRR1071807_1.fastq.gz	SRR1071807_2.fastq.gz
SRR1071832	SRR1071832_1.fastq.gz	SRR1071832_2.fastq.gz
SRR1071856	SRR1071856_1.fastq.gz	SRR1071856_2.fastq.gz
SRR1071880	SRR1071880_1.fastq.gz	SRR1071880_2.fastq.gz
SRR1071905	SRR1071905_1.fastq.gz	SRR1071905_2.fastq.gz
SRR1071931	SRR1071931_1.fastq.gz	SRR1071931_2.fastq.gz
SRR1071955	SRR1071955_1.fastq.gz	SRR1071955_2.fastq.gz
SRR1071983	SRR1071983_1.fastq.gz	SRR1071983_2.fastq.gz
SRR1072007	SRR1072007_1.fastq.gz	SRR1072007_2.fastq.gz
SRR1072031	SRR1072031_1.fastq.gz	SRR1072031_2.fastq.gz
SRR1072055	SRR1072055_1.fastq.gz	SRR1072055_2.fastq.gz
SRR1072078	SRR1072078_1.fastq.gz	SRR1072078_2.fastq.gz
SRR1072104	SRR1072104_1.fastq.gz	SRR1072104_2.fastq.gz
SRR1072129	SRR1072129_1.fastq.gz	SRR1072129_2.fastq.gz
SRR1072150	SRR1072150_1.fastq.gz	SRR1072150_2.fastq.gz
SRR1072178	SRR1072178_1.fastq.gz	SRR1072178_2.fastq.gz
SRR1072199	SRR1072199_1.fastq.gz	SRR1072199_2.fastq.gz
SRR1072223	SRR1072223_1.fastq.gz	SRR1072223_2.fastq.gz
SRR1072247	SRR1072247_1.fastq.gz	SRR1072247_2.fastq.gz
SRR1072269	SRR1072269_1.fastq.gz	SRR1072269_2.fastq.gz
SRR1072297	SRR1072297_1.fastq.gz	SRR1072297_2.fastq.gz
SRR1072321	SRR1072321_1.fastq.gz	SRR1072321_2.fastq.gz
SRR1072345	SRR1072345_1.fastq.gz	SRR1072345_2.fastq.gz
SRR1072367	SRR1072367_1.fastq.gz	SRR1072367_2.fastq.gz
SRR1072388	SRR1072388_1.fastq.gz	SRR1072388_2.fastq.gz
SRR1072412	SRR1072412_1.fastq.gz	SRR1072412_2.fastq.gz
SRR1072432	SRR1072432_1.fastq.gz	SRR1072432_2.fastq.gz
SRR1072456	SRR1072456_1.fastq.gz	SRR1072456_2.fastq.gz
SRR1072480	SRR1072480_1.fastq.gz	SRR1072480_2.fastq.gz
SRR1072504	SRR1072504_1.fastq.gz	SRR1072504_2.fastq.gz
SRR1072529	SRR1072529_1.fastq.gz	SRR1072529_2.fastq.gz
SRR1072554	SRR1072554_1.fastq.gz	SRR1072554_2.fastq.gz
SRR1072578	SRR1072578_1.fastq.gz	SRR1072578_2.fastq.gz
SRR1072602	SRR1072602_1.fastq.gz	SRR1072602_2.fastq.gz
SRR1072626	SRR1072626_1.fastq.gz	SRR1072626_2.fastq.gz
SRR1072650	SRR1072650_1.fastq.gz	SRR1072650_2.fastq.gz
SRR1072676	SRR1072676_1.fastq.gz	SRR1072676_2.fastq.gz
SRR1072700	SRR1072700_1.fastq.gz	SRR1072700_2.fastq.gz
SRR1072724	SRR1072724_1.fastq.gz	SRR1072724_2.fastq.gz
SRR1072749	SRR1072749_1.fastq.gz	SRR1072749_2.fastq.gz
SRR1072773	SRR1072773_1.fastq.gz	SRR1072773_2.fastq.gz
SRR1072797	SRR1072797_1.fastq.gz	SRR1072797_2.fastq.gz
SRR1072821	SRR1072821_1.fastq.gz	SRR1072821_2.fastq.gz
SRR1072845	SRR1072845_1.fastq.gz	SRR1072845_2.fastq.gz
SRR1072871	SRR1072871_1.fastq.gz	SRR1072871_2.fastq.gz
SRR1072895	SRR1072895_1.fastq.gz	SRR1072895_2.fastq.gz
SRR1072920	SRR1072920_1.fastq.gz	SRR1072920_2.fastq.gz
SRR1072948	SRR1072948_1.fastq.gz	SRR1072948_2.fastq.gz
SRR1072972	SRR1072972_1.fastq.gz	SRR1072972_2.fastq.gz
SRR1072998	SRR1072998_1.fastq.gz	SRR1072998_2.fastq.gz
SRR1073021	SRR1073021_1.fastq.gz	SRR1073021_2.fastq.gz
SRR1073045	SRR1073045_1.fastq.gz	SRR1073045_2.fastq.gz
SRR1073069	SRR1073069_1.fastq.gz	SRR1073069_2.fastq.gz
SRR1073095	SRR1073095_1.fastq.gz	SRR1073095_2.fastq.gz
SRR1073119	SRR1073119_1.fastq.gz	SRR1073119_2.fastq.gz
SRR1073143	SRR1073143_1.fastq.gz	SRR1073143_2.fastq.gz
SRR1073167	SRR1073167_1.fastq.gz	SRR1073167_2.fastq.gz
SRR1073191	SRR1073191_1.fastq.gz	SRR1073191_2.fastq.gz
SRR1073217	SRR1073217_1.fastq.gz	SRR1073217_2.fastq.gz
SRR1073242	SRR1073242_1.fastq.gz	SRR1073242_2.fastq.gz
SRR1073267	SRR1073267_1.fastq.gz	SRR1073267_2.fastq.gz
SRR1073291	SRR1073291_1.fastq.gz	SRR1073291_2.fastq.gz
SRR1073317	SRR1073317_1.fastq.gz	SRR1073317_2.fastq.gz
SRR1073341	SRR1073341_1.fastq.gz	SRR1073341_2.fastq.gz
SRR1073365	SRR1073365_1.fastq.gz	SRR1073365_2.fastq.gz
SRR1073389	SRR1073389_1.fastq.gz	SRR1073389_2.fastq.gz
SRR1073413	SRR1073413_1.fastq.gz	SRR1073413_2.fastq.gz
SRR1073435	SRR1073435_1.fastq.gz	SRR1073435_2.fastq.gz
SRR1073459	SRR1073459_1.fastq.gz	SRR1073459_2.fastq.gz
SRR1073483	SRR1073483_1.fastq.gz	SRR1073483_2.fastq.gz
SRR1073507	SRR1073507_1.fastq.gz	SRR1073507_2.fastq.gz
SRR1073531	SRR1073531_1.fastq.gz	SRR1073531_2.fastq.gz
SRR1073553	SRR1073553_1.fastq.gz	SRR1073553_2.fastq.gz
SRR1073581	SRR1073581_1.fastq.gz	SRR1073581_2.fastq.gz
SRR1073605	SRR1073605_1.fastq.gz	SRR1073605_2.fastq.gz
SRR1073631	SRR1073631_1.fastq.gz	SRR1073631_2.fastq.gz
SRR1073655	SRR1073655_1.fastq.gz	SRR1073655_2.fastq.gz
SRR1073679	SRR1073679_1.fastq.gz	SRR1073679_2.fastq.gz
SRR1073705	SRR1073705_1.fastq.gz	SRR1073705_2.fastq.gz
SRR1073731	SRR1073731_1.fastq.gz	SRR1073731_2.fastq.gz
SRR1073755	SRR1073755_1.fastq.gz	SRR1073755_2.fastq.gz
SRR1073775	SRR1073775_1.fastq.gz	SRR1073775_2.fastq.gz
SRR1073878	SRR1073878_1.fastq.gz	SRR1073878_2.fastq.gz
