SRR1319672 SRR1319672_1.fastq.gz SRR1319672_2.fastq.gz
SRR1319816 SRR1319816_1.fastq.gz SRR1319816_2.fastq.gz
SRR1319837 SRR1319837_1.fastq.gz SRR1319837_2.fastq.gz
SRR1319970 SRR1319970_1.fastq.gz SRR1319970_2.fastq.gz
SRR1320012 SRR1320012_1.fastq.gz SRR1320012_2.fastq.gz
SRR1320071 SRR1320071_1.fastq.gz SRR1320071_2.fastq.gz
SRR1320093 SRR1320093_1.fastq.gz SRR1320093_2.fastq.gz
SRR1320115 SRR1320115_1.fastq.gz SRR1320115_2.fastq.gz
SRR1320180 SRR1320180_1.fastq.gz SRR1320180_2.fastq.gz
SRR1320280 SRR1320280_1.fastq.gz SRR1320280_2.fastq.gz
SRR1320342 SRR1320342_1.fastq.gz SRR1320342_2.fastq.gz
SRR1320560 SRR1320560_1.fastq.gz SRR1320560_2.fastq.gz
SRR1320873 SRR1320873_1.fastq.gz SRR1320873_2.fastq.gz
SRR1320892 SRR1320892_1.fastq.gz SRR1320892_2.fastq.gz
SRR1320916 SRR1320916_1.fastq.gz SRR1320916_2.fastq.gz
SRR1320963 SRR1320963_1.fastq.gz SRR1320963_2.fastq.gz
SRR1321046 SRR1321046_1.fastq.gz SRR1321046_2.fastq.gz
SRR1321183 SRR1321183_1.fastq.gz SRR1321183_2.fastq.gz
SRR1321244 SRR1321244_1.fastq.gz SRR1321244_2.fastq.gz
SRR1321462 SRR1321462_1.fastq.gz SRR1321462_2.fastq.gz
SRR1321552 SRR1321552_1.fastq.gz SRR1321552_2.fastq.gz
SRR1321674 SRR1321674_1.fastq.gz SRR1321674_2.fastq.gz
SRR1321786 SRR1321786_1.fastq.gz SRR1321786_2.fastq.gz
SRR1321853 SRR1321853_1.fastq.gz SRR1321853_2.fastq.gz
SRR1321966 SRR1321966_1.fastq.gz SRR1321966_2.fastq.gz
SRR1322010 SRR1322010_1.fastq.gz SRR1322010_2.fastq.gz
SRR1322163 SRR1322163_1.fastq.gz SRR1322163_2.fastq.gz
SRR1322270 SRR1322270_1.fastq.gz SRR1322270_2.fastq.gz
SRR1322291 SRR1322291_1.fastq.gz SRR1322291_2.fastq.gz
SRR1322419 SRR1322419_1.fastq.gz SRR1322419_2.fastq.gz
SRR1322456 SRR1322456_1.fastq.gz SRR1322456_2.fastq.gz
SRR1322555 SRR1322555_1.fastq.gz SRR1322555_2.fastq.gz
SRR1322768 SRR1322768_1.fastq.gz SRR1322768_2.fastq.gz
SRR1323043 SRR1323043_1.fastq.gz SRR1323043_2.fastq.gz
SRR1323106 SRR1323106_1.fastq.gz SRR1323106_2.fastq.gz
SRR1323130 SRR1323130_1.fastq.gz SRR1323130_2.fastq.gz
SRR1323174 SRR1323174_1.fastq.gz SRR1323174_2.fastq.gz
SRR1323196 SRR1323196_1.fastq.gz SRR1323196_2.fastq.gz
SRR1323536 SRR1323536_1.fastq.gz SRR1323536_2.fastq.gz
SRR1323603 SRR1323603_1.fastq.gz SRR1323603_2.fastq.gz
SRR1323746 SRR1323746_1.fastq.gz SRR1323746_2.fastq.gz
